id,text,label
278,"На фото выглядят как брючки, по факту и цвет и качество не похожи, сидит не очень, сползают - собираются,",одежда
279,"товар пришел быстро. качество нормальное,материал только тоненький у шорт. а так все супер. спасибо",нет товара
280,"Заказ пришел, но на картинке белый цвет а на самом деле серая кофта. Размер тоже не подошел, хотя я такие вещи покупаю по тому размеру который заказывала. На вид по картинке длинее чем кажется, на самом деле короткая.",нет товара
281,"В Пермь пришел за 9 дней. Но куртка вся кривая косая, плечи узкие, в бедрах огромная. Носить вряд ли буду",одежда
282,"Сорочка замечательная. Очень аккуратно сшита, никаких перекосов в крое. Брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. Очень довольна заказом. Рекомендую к покупке.",нет товара
283,товар отправили не на тот адрес. но деньги вернули,нет товара
284,"Отличаются  от такой же модели синего цвета, при том, что заказывала одновременно. Все липнет, на ощупь как бумажные какие-то, тянутся сложнее.",нет товара
285,"не скажу,  что блузка хороша, ткань непонятная, подкладка - прозрачная синтетика, кружево жесткое, отделка рукавов оставляет желать лучшего. На 96-78-102 тесновато в груди и в рукавах.",нет товара
286,зачем заказала? ужасно. все в затяжках,нет товара
287,"доставка очень медленная, размерная сетка не соответсвует, на размер 50-52 5XL малы, на рост 170 длина до щиколотки",одежда
288,"Футболка нормальная, размер подошел.",нет товара
289,"все нормально, хорошая ткань, рекомендую",нет товара
290,"На фото смотрится гораздо лучше, чем на самом деле. Ткань очень тонкая, вся просвечивается.",нет товара
291,"Ужасная кофта. Не рекомендую. Маленькая, висит как тряпка.",нет товара
292,"Обманули. Товар ждала с конца марта!!!!!! Кошмар. Товар так и не пришёл, продавец просил подождать, я открыла спор. Продавец отказался отдавать деньги. Я открыла повторный спор, деньги мне так и не вернули!!!!!!!",нет товара
293,"Все трусики разного размера, получила всю размерную сетку. Шли 2 месяца. Разочарование. Подошли только 1 из 5.",товары для детей
294,"Хорошая куртка. Спасибо продавцу за подарочек! На российский 46 размер xl  сел идеально, при весе 57кг. Буду заказывать ещё.",нет товара
295,на ветрозащитной планке нет кнопок отсутствуют пуговицы чтобы пристегивать подклад. без теплого подклада это кусочек ткани даже нет синтепона. три звезды только за то что заказ доехал,нет товара
296,"Товар так и не пришел, прождал больше двух месяцев",нет товара
297,"свой заказ так и не получила!!! а этот недобросовестный продавец взял и закрыл его!!! и теперь ни денег,ни заказа!!!",нет товара
298,вообще не соответствует размеру. очень сильно маленькие как на ребенка,нет товара
299,заказ ждала 2 месяца он не разу отслеживается.но он не пришел.продавец вернул деньги,нет товара
300,"Горловина блузки кривая,  рукав подшит криво,",одежда
301,очень много ниток,нет товара
302,На рукавах резинка не тянется. Ворот короткий. Карманы разного размера и маленькие. Очень тонкая. Мне она было слишком свободна.,одежда
303,"очень ждала юбку,долго не отправляли,но это все мелочи,получила в течение месяца,с продавцом не общалась.Качество говно полное,сшито из какой-то прозрачной тюли,носить такое нельзя.Я очень разочарована((((",нет товара
304,"Отличное качество, очень мягкий",нет товара
305,Рекомендую.,нет товара
306,заказала 8.08. пришла 06.09. на мои ог 90 от 75 об 100 L в самый раз. рукав на тонкую руку. перешивала пуговицы. блузкой очень довольна.,одежда
307,"платье получила...не то
 что ожидала(ткань тоненькая,просвечивает,замок нашит прям так сверху....то бишь взяли обычную молию и прифигачили так, в общем не оденешь((((",одежда
308,"Это не зимняя парка, да и мех линяет",нет товара
309,Очень коротко,нет товара
310,"соответствует описанию,доставка 2 недели во владимирскую область. спасибо.",нет товара
311,"Доставка не более 3 недель до Москвы,топ не плохой,единственное короткий))но под брюки с завышенной талией или юбку,будет не плохо!",нет товара
312,"Все бы ни чего, и качество ткани и швы, но на брюках при распаковке обнаружилось пятно вывески которое к сожалению ни чем не удалось( носить не смогу( ",текстиль
313,ужасно маленький размер... И качество ..если за такие деньги с качеством я соглашусь..то размер....отвратительно!!!,обувь
314,"Блузка низкого качества. Материал синтетика и в ней очень жарко. Но самое главное, что на спине топорщится в районе талии. Даже если заправляешь под юбку или брюки, то все равно остаётся пузырь (( Носить, к сожалению, не буду ",нет товара
315,Товар хорошего качества. Пришёл за 4 недели. ,нет товара
316,"Я очень не довольна товар пришел не качественный, на фото видно! Продовец на протяжениии 30 дней обещал вернуть деньги, тянул до последнего, но так и ни чего и не зделал! Магазин не советую!!!!!!",нет товара
317,"Куртка классная ! Как раз на осень ! Цвет приятный ! Нитки не торчат , быстрая доставка . Спасибо продавцу за подарок ",нет товара
318,"Товар пришёл через 3 недели,что очень порадовало, трек отслеживался. Соответствует описанию, приятный на ощупь, тёплый, размер М соответствует 42-44, капюшон не глубокий-некритично. Спасибо продавцу! Рекомендую!",нет товара
319,"не получила ,деньги вернул алиекспресс ,продавец отказался ворачивать",нет товара
320,"Товар отправили только после открытия спора. До этого все было хорошо заказ делала дважды. Отправление и получение было быстро. Я не знаю, что случилось.",нет товара
321,"изделие не держится на теле, из за малого слоя силиконовой основы.",украшения и аксессуары
322,"Спасибо, платье по размеру подошло 46 L, ткань приятна к телу",нет товара
323,"Слишком заметные швы,расположенные не с боку по фигуре.изнаночная и лицевая части ничем не отличаются.Разочарована.
+нитки,но это дело поправимое.
Запах отсутствует.",одежда
324,"чудесно! просто все замечательно! доставка быстрая, продавец приятный, комбез великолепный. ещё и подарочек! сказка )",нет товара
325,"Спасибо продавцу, посылка пришла
 вовремя , кофта по размеру , надписи сделаны хорошо , рада что заказала именно здесь!!!",нет товара
326,"Так и не дошли, инфы по отслеживанию не было. Жду возврата денег",нет товара
327,"отличные, приятные к телу штанишки. Рост 170, ОБ 100, ОТ 74 - по размеру.",одежда
328,"Розовые мерзкого цвета, не берите. Чёрные норм. ",нет товара
329,"Материал смотрится дёшево, плохо села в плечах - торчит по краям",нет товара
330,покупайте обязательно. всем советую.это находка.все спрашивают где я купила,нет товара
331,"Штаны очень КОРОТКИЕ на мой рост 170 см, как бриджи",нет товара
332,"Материал грубоват ,а так ничего за эти деньги . Доставили быстро",нет товара
333,продавец обманывает и не отправляет заказ!!!!,нет товара
334,"платье синтетика, электризуется, и неприятно к телу, все обтягивает",одежда
335,"Спасибо! Куртка по размеру, качество хорошее.",нет товара
336,платье отличное в размер мне понравилось,нет товара
337,"Описание товара не совсем точное, бельё просто огромное и смотрится не очень красиво.",нет товара
338,"сидит прекрасно,пришёл быстро и
 без запаха",нет товара
339,товар не пришел деньги её вернули ужасный продавец не советую,нет товара
340,Спасибо за быструю доставку!,нет товара
341,Все здорово ,нет товара
342,"мягкий, тёплый, на рост 170-2 и вес ~53 село идеально. запах как у новой вещи, не противный.",одежда
343,Ужасно пошито. Очень жаль.,нет товара
344,"Тонкая синтетика, но за такие деньги норм, ребенок доволен",нет товара
345,Товар хорошего качества. За долгую доставку только 3 звезды,нет товара
346,Короткая. На юбке есть пятно черное.,нет товара
347,"Пришла посылка, но у меня она так и не появилась, тупо на почте отдали кому то другому. Короче не могу сказать какой товар. В жопу почту России. Продавцу спасибо, общительный, пытался помочь. ",нет товара
348,"Нет вытачек на груди. Выглядит, как мешок. Ткань норм, тонкая синтетика.",нет товара
349,"Приятная, нежная ткань. Хороший комплект. только цвет не такой сочный, как на картинке.",нет товара
350,"куртка качественная,на прохладную осень. Размер,который посоветовал продавец по моим параметрам, оказался велик. в эту куртку две меня влезет, поэтому 1. Печально:(",нет товара
351,i love this jeans,нет товара
352,"Очень красивая качественная майка, спинка отделана очень качественно. смотрится просто супер. Доставка домой курьером",одежда
353,Маловата в груди(( и манжеты куцые какие то,нет товара
354,"Посылка пришла быстро,размер подошел,качество отличное
Все супер",нет товара
355,Маломерка жуткая！ Максимум на 46 размер. Я со своим 50 не влезла. Рукава очень узкие！ Талия не тянется. Качество ткани приличное. Отдам подружке... Хорошо взяла за 360 руб. Не жалко.,нет товара
356,товар не пишел. никакого общенияс продавцом не рекомедую продавца!!!!,нет товара
357,"Товар супер продавца рекомендую доставка
 2 недели до Екатеринбурга качество хорошее",нет товара
358,Кофточка оказалось очень маленькой. Пришлась в пору моей 5-ти летней племяннице.,нет товара
359,"Мне понравилась эта блуза из за красивой горловины на фото, а на  самом деле она совсем другая, просто обрезано кружево и рукав  такой же. Я разочарованная",одежда
360,Хорошая майка! Все как на картинке и качество хорошее !,нет товара
361,"очень довольна товар пришёл за дней 10 , спасибо продавцу))",нет товара
362,"Товар ждал 4-месяца (продавец продлял защиту ) , товар не пришёл, деньги вернули.",нет товара
363,супер пупер,нет товара
364,Очень мала. Размер ХХХL не соответствует. Подошла на 44-46 размер.,нет товара
365,Ужасссноооо. Я не довольна. ,нет товара
366,"Спасибо, очень довольна товаром. Рейтинг мягкие, не стягивают ноги, приятны к телу. На 46 размер заказала хl,  сели отлично.",обувь
367,"пришла майка, только в другой город",одежда
368,сшито очень хорошо но цвет совсем не такакой как на картинке.,нет товара
369,Люди не покупайте у этого продавца ничего он посылку мне так и не отправил а заказала я ее 3 месяца назад вот и деньги не вернул урод знайте этого продавца и ничего у него не заказывайте ,нет товара
370,"Размер  соответствует российскому 40-42, но хорошо тянется. Материал мягкий, приятный. Но на моей юбочке были дефекты-непрошитая строчка и дырочка. Правда продавец тут же вернул деньги. ",обувь
371,"ждала заказ 3 месяца,товар так и не пришел. доставка была платная,но трек не отслеживался вообще. деньги вернули полностью за 2 дня",нет товара
372,"заказ не пришел, деньги так и не вернули!!!!!",нет товара
373,"отличная жилетка.  брала размер м на параметры 88-67-92. внизу широковата,  не приталеная.  на карманах нет молний,  качество пошива отличное. доставка три недели,  трек отслеживался.  наполнение пухом нормальное.",нет товара
374,"Отличные Ленинск. Яркие, мягкие. На мой 42 р-р и рост 165 см сели отлично, есть запас в длине",обувь
375,"Кофта на 3 размера меньше, по пуп, 100% синтетика!  2 звезды,  только за то, что вернули часть денег.",нет товара
376,"качество ткани отвратительное, как стекло. воротник форму не держит вообще. не стоит даже этих денег.",текстиль
377,"Ткань тонкая. Сложно одевать, не расстёгивается сбоку, а через голову сложно влезть. По длине мал. ",нет товара
378,товар не получила. деньги не получила. полное кидалово.,нет товара
379,"голая синтетика, как на картинке не сидит, можно и 2 поставить, но сама знала, что за такую цену ничего хорошего не будет, поэтому ставлю ради продавца 5",нет товара
380,Платье пришло. Хороший товар. Продавцу 5 звёзд.,нет товара
381,товар так и не получен. но деньги продавец вернул очень быстро.,нет товара
382,"Доставка быстрая до Новосибирска ,ветровка отличная ,сшита хорошо по размеру подошла только рукава коротковаты мне ,придётся задирать как три четверти ,а так все отлично !Спасибо !",нет товара
383,"Очень тугие резинки на чулках, пришлось стягивать их намного ниже, чем обычно должны носится , натянула чуть выше колен, чтобы не давило! Мой размер М, чулки наверное рассчитаны на s или даже на xs",обувь
384,"Инопланетянин плохой,шло месяц,не подошёл по размеру,взяла размер s,оказались большие рукава,и она делает вас квадратным,не советую,рисунок после стирки сотрется",нет товара
385,"М на рост 157, объем рук 28 сидит хорошо правда руки чуть сковывает, длинный.
Сам по себе мягкий и красивый",нет товара
386,прошло два месяца товара нет. Верните деньги,нет товара
387,"Размер М на бёдра 95 очень короткий, как трусы ",обувь
388,"На российский 46, взяла L и оказалась широковата.Ну на дачу пойдёт.Запаха нет.  Цвет рисунок всё ок. Тонкий, но тёплый. Немного торчат нитки, но не страшно",одежда
389,"Товар не соответствует описанию, ни по качеству, ни по размеру, ни по цвету",нет товара
390,"пошла вся в пятнах,так ещё и по шву разрыв",обувь
391,"товар не соответствует тому,что на картинке",нет товара
392,It doesn't look like on photo at all. Size is too small ,нет товара
393,"Размер не соответствует, s как m, фасон странный, сама кофта широкая, спереди короткая, рукава длинные, носить не буду.",одежда
394,"товар не получен, но деньги возвращены. Продавец всегда на связи.",нет товара
395,Гавно,нет товара
396,"Подходят всем, и детям и взрослым)))",нет товара
397,"Отличный джемпер, все как на фото. Рукава на рост 172 см в самый раз. Длина хорошая. Советую.",нет товара
398,"Доставка очень быстрая,12 дней. На мой 52 размер, заказывала 4xl. Рукава короткие попу не закрывает, очень  тонкая. Карманы маленькие и капюшон тоже. Короче не соответствует картинке. Не стоит этих денег. ",нет товара
399,"Продавец прислал товар с дефектами, денег не вернул - должна обратно отправить ",нет товара
400,"супер
достаточно теплая, на позднюю осень
пойдет
В жизни выглядит лучше, чем на фото, и сидит отлично",одежда
401,"Продавец долго отправлял заказ. Футболка понравилась. Идёт в размер. Ношу S,   взяла М. Свободно в талии",нет товара
402,"Хороший топ, подойдёт на русский 42-44, длина 52 см",нет товара
403,Не соответствует описанию((,нет товара
404,Шапку покупала ребёнку из за пампона (он чёрный)так вот он совсем не держится на шапке!!!продавцу написала об этом но он игнорит!,нет товара
405,"Платье,    на картинке лучше,  чем на самом деле. Пошито разными нитками,  которые торчат.Кружево пришито криво.  У кого узкая талия,  надо ушивать.",одежда
406,"Товара нет пол года ,деньги не возвращают,может почта России тупит,но они сказали не знают где товар ",нет товара
407,заказать надо было на размер меньше,обувь
408,"замечательно, точно как в описании, очень симпатичный комплект",нет товара
409,"Отличное качество, никакого запаха , ткань приятная к телу, по ощущениям как вискоза. Заказом очень довольна, трек отслеживался.",нет товара
410,"Отличная рубашка! Заказывала маме - село хорошо. Материал приятный, фасон интересный. 
Цвет как в объявлении (на фото смотрится более кирпичным из-за желтого освещения).",одежда
411,"заказала 6 цветов, забрали денег за 6 трусов 252рублей.а прибыли 1ш трусов.",товары для детей
412,"Заказ не получила, но деньги вернули",нет товара
413,"Леггинсы классные, хорошо тянутся. Брала два цвета. Очень довольна. Закажу еще в подарок. Спасибо продавцу!",нет товара
414,"шапка маленькая, на ребенка",товары для детей
415,"чашечки плоские, сплющили грудь  не смотря на то что мой размер 75 с, 75D оказался мал! грудь вываливается, нагибаться тоже не удобно сразу грудь наружу!",посуда
416,Доставленные лосины не соответствуют заказанным. Невнимательность сотрудников ведёт к разочарованию покупателей!,одежда
417,"заказала 9.08, 23.08 уже пришло в Крым. описанию соответствует. очень милые. синтетика, но приятная и не пахнет:)",нет товара
418,"Нормально, но на грудь 85д узковато ",нет товара
419,"Носочки очень крутые, рисунок хороший, две полоски снизу приносят мне эстетическое наслаждение)) заказала 17 октября, пришли уже 5 ноября в Москву ",нет товара
420,"доставка до Иркутской области чуть больше месяца. принёс курьер. качество просто супер. размер на мой 52-54 подошёл 5xl очень хорошо. запаха нет , хлопок ,швы ровные, нитки не торчат. костюм просто супер. длина брюк 7/8",нет товара
421,"Брала мама 52 размер, отлично подошёл , претензии не имею .. в носке приятен и красив )) чёрный цвет хорошо смотрится )) спасибо продавцу ",обувь
422,Заказала с пришла очень большая ,нет товара
423,доставка быстрая. отслеживаются,нет товара
424,"Прекрасный костюм.Мягкий,уютный и очень тёплый!!на 88-67-90 и рост 170 подошёл прекрасно.стоит своих денег.рекомендую.спасибо продавцу за качественный товар и быструю доставку!!",одежда
425,"бюстгалтер с нитками, трусики хорошие. Доставка странная",нет товара
426,"Не указан материал, сделано очень грубо, швы плохие, мне попался с дыркой на рукаве.",одежда
427,"Приятные к телу , мягкие , пришли за месяц в Новосибирскую область .",одежда
428,ткань неизвестная....очень тонкая....куда его носить даже незнаю....,нет товара
429,"Качество хорошее. Но цвет не тот как на фото. Заказывала ментол, по факту просто темно зеленый.",нет товара
430,Топик отличный. Принт супер качества и материал приятный на ощупь. Все как на картинке и в описании. Покупкой довольны.,нет товара
431,"Заказ не пришёл, и деньги тоже ни кто не вернул!!! ",нет товара
432,"заказ не пришла.открыла спор, деньги вернули",нет товара
433,жесть...нитки весят чуть ли не до колен-единственный минус,нет товара
434,Качество отличное. Всем советую продавца.,нет товара
435,"футболка не соответствует картинке:(
что меня очень огорчило..
а так не плохая футболка",нет товара
436,Для меня по длине это не платье к сожалению) ношу как пиджак) ,нет товара
437,"очень милая юбочка,но блин на мой  рост(170) она короткая,но на лето сойдет ,спасибо продавцу",нет товара
438,"Шикарное платье!!!!!!! Это моя лучшая  покупка! Кто сомневается, берите - не пожалеете! Я взяла М, на параметры: 88-70-92. село идеально. Доставка курьером, через месяц!",одежда
439,прибыло быстро. качество отличное. на 160 очень хорошо.  продавцы молодцы:)!,нет товара
440,Отличные носочки. Все полностью соответствует фото. Продавец хорошо упаковал - каждая пара на плотной картонке. Очень советую!,нет товара
441,платье не пришло и деньги не вернули!!!,нет товара
442,"Заказ пришёл очень быстро. Спасибо продавцу. Блузка смотрится хорошо, но вот на одном рукаве манжет не прострочен,дырка по шву, это минус за качество, заказала S размер, как бы не было мало. Примерка состоится, отзыв дополню.",одежда
443,"немного не подошел по размеру,а так качество нормальное",обувь
444,очень классные!,нет товара
445,"по доставке все хорошо, размер подошел,на изделии отсутствует состав ткани это очень плохо, на ощуп много синтетики",текстиль
446,"заказ так и не получила, алиэкспресс вернул деньги",нет товара
447,"Отличная блузка, за 320 руб, доставка примерно месяц, трек отслеживается, на рост 170, вес 56 брала М, как влитая. СПАСИБО ПРОДАВЦУ! ",нет товара
448,лосины супер всегда у него буду заказывать рисунок четкий,нет товара
449,"Очень плохое качество товара, плохо прошито,  местами отверстия. Еще и  размер другой прислали.",товары для детей
450,"По трек номеру посылка доставленна, но куда и как никто не в курсе.  Денег не вернуть.  Товара нет.",нет товара
451,"очень не довольна, это не платье а просто ужас!!! Не соответствует картинке.",нет товара
452,"ужасный костюм,который ужасно маломерит,да и просвечивает",одежда
453,"Супер качество , трек отслеживается ! Рекомендую ",нет товара
454,"Пришла куртка быстро, немного есть запах, а так в принципе довольна",нет товара
455,Не аккуратно прошито,одежда
456,"Товар где то потерялся, открыл спор - вернули деньги",нет товара
457,"Очень!!! долгая отправка и долгая доставка!!! 2 месяца!!! Сам свитер красивого красного цвета, фасон пока непривычный, пахнет пылью, конечно, столько идти, запылился по дороге",одежда
458,на 50 размер в обтягон. а так нормально. с продавом не общалсь.,обувь
459,ношу размер s она для меня огромная.Вышевка проделана плохо.,нет товара
460,очень тонкая шапка. думала будет потолще. но красивая. сидит на голове комфортно. и мне идёт.  в общем нормально. но шла очень долго.,нет товара
461,"Принты, причем только с верхней стороны. Первые 3-4 раза лучше стирать в дали от другой одежды.",нет товара
462,"трусики отличные,мягкие приятные к телу,размер соответствует таблице",нет товара
463,сильный запах.  вид ношеный. рукова короткие.,нет товара
464,"Цвет пришел не тот который заказывала, много торчащих ниток, на размер 40-42(XS) большой, сидит как мешок, общение с провод ужасно",обувь
465,"все как в описании,доставка быстрая, хороший материал.",нет товара
466,"Ужасное качество ткани, штаны короткие , широкие внизу,  картина не соответствует  совершенно , не покупайте такой  ужас, ещё и воняет ужасно, даже дома носить не возможно, выкинула :(",текстиль
467,синтетика галимаЯ. своих денег не стоит.,текстиль
468,Быстро и в хорошем качестве,нет товара
469,На рост 176 очень корткие. Как капри. Очень плохо,нет товара
470,Доставка 15 дней. Заказываю уже второй комплект. Очень нравится))),нет товара
471,Пришли с дырочкой !,нет товара
472,плохой шов!!!!,нет товара
473,заказ не соответствует описанию,нет товара
474,"!!!ужасный товар!!! XXXL??!! точно нет!! маленькие, короткие, ткань просто ЖУТЬ! с неприятным химическим запахом и белесыми пятнышками посреди тёмно-синего в местах, где нет рисунка!!¿
НЕ рекомендую!",одежда
475,"приятный материал, на 46 размер брала xl - как раз. рисунок мельче, чем на фото.",нет товара
476,"Заказ пришёл быстро, продавец на все вопросы ответил быстро. Был небольшой брак, но продавец вернул деньги. Ставлю пять звёзд.",нет товара
477,"по качаству хорошая, но оказалась чутка короткой.",нет товара
478,"получила заказ, размер не подошел, плюс пятно возле ворота( ожидала от заказа большего(",обувь
479,"Маленький размер, очень посредственное качество, неприятный запах.",нет товара
480,брат с дыркой,нет товара
481,"ожидала другого,с цветом все впорядке но вот сам фасон вообще не сидит и не подчеркивает фигуру ...как в мешке,ленты тоже кое как вставлены все рваные ....рукава короткие хотя рост у меня 164 ",одежда
482,"У свитера очень неприятный запах был. Ткань совсем лёгкая. Я не в восторге, может после стирки и лёгкой глажки будет выглядеть приличнее",нет товара
483,"пришел товар быстро, но абсолютно не тот размер чашки огромные  заказала 80 А",нет товара
484,"долго шел, нитки торчат",нет товара
485,Too long. And a bit too tight in the chest.,нет товара
486,"Очень классные джинсы ,  довольно плотные  и приятные к телу ,  посылка пришла менее чем за 3 недели , носить буду с удовольствием ! 
Спасибо!",нет товара
487,"пришли быстро, правда брюки синтетические, хотела в них по жому ходить, но похоже буду ходить в них на тренеровку",нет товара
488,огонь!,нет товара
489,"Все круто. Сшито качественно, ничего не торчит и ткань очень приятная ",нет товара
490,"Нормальная рубашка. Своих денег наверно не стоит, но ничего ужасного в ней нет. Нитки торчат, но сшито ровно. Не пахнет почти ",нет товара
491,очень хорошая ветровка. качество просто супер. соответственно описанию.,одежда
492,"Кофточки очень хорошие, заказывала розовую и черную. Розовая чуть меньше и больше в обтяг, черная села идеально. А так на 42-44 обе хорошо подошли.",нет товара
493,Качество матерьяла - фууу,текстиль
494,"На фото выглядит лучше, чем есть на самом деле, на рост 170 коротковата",нет товара
495,Теплая куртка 3XL очень маленький размер.Такой же 2ХL намного больше.Как детский размер.Куртка очень маленькая.Не подошла.Жалко.Очень красивый цвет.,одежда
496,"заказ так и не пришел,спор одобрен,но деньги так и не вернули.",нет товара
497,товар не отслеживался и не пришел очень обидно !!!(((,нет товара
498,"Классная штука,пришла быстро ,прям в почтовый ящик",нет товара
499,"Цвет не ровный, окрашено кусками. В области груди выдран клочок. Внизу тесемки  не в некоторых местах оторваны на половину. Не похоже на кожу. Очень короткая",обувь
500,"Жутко лезут волосы,все вокруг в этих волосах от кофты",нет товара
501,хорошее качественное пальто. размерная сетка верная.  быстрая отправка и доставка.  Я очень довольна.  спасибо большое!,нет товара
502,"Товар не пришёл, деньги вернули . ",нет товара
503,"качество самой ткани  хорошее, но уже после второй носки полез рукав и просто начал расходиться по шву , шов вообще никакой ,слабый, разлетелся разом, в самый неподходящий момент",нет товара
504,"очень довольна заказом, даже не ожидала что она такая классная, мягенькая и приятная к телу. Доставка быстрая, меньше месяца. Спасибо продавцу.",нет товара
505,"Товар не плохой, но много ниток торчит",нет товара
506,"кофточка хорошая, но, к сожалению, рукав был порван. продавец аккуратно заштопал дырку, то шов все равно виден.",одежда
507,"Продавец не отправил товар и дал чужой трек. Недели 2 кормил обещаниями, что отправит, пока не открыла спор. Деньги вернул сразу!!!!!",нет товара
508,"бомбезная шапка,под спортивную одежду -класс,товар рекомендую,спасибо продавцу ✌и пришла за две недели,хотя я выбирала платную доставку,теперь закажу серую",одежда
509,"С И Н Т Е Т И К  А!  с большой буквы. искриться,потрескивает, ни грамма ,ни ниточки натурального в этой вещи, носить не возможно.",нет товара
510,Жестко маломерит,нет товара
511,"товар так и не пришел, по истечении 4 месяцев продавец не хотел возвращать деньги, пока не вмешался алиэкспресс",нет товара
512,вообще огромное. учесть я заказала L пришло на 5 размеров больше. и материал просто ужасен,нет товара
513,"Очень хорошее качество, жене оч понравился комплектик, на размер 44, заказывали S,можно было и XS",одежда
514,"продавец что-то напутал с адресом.Половину пути трек отслеживания потом нет.очень долго отправлял.Вообщем заказывала на лето,но оно к сожалению прошло.....в целом цена-качество соответствует",нет товара
515,"посылка, пришла,  отслеживалась,  но свитер короткий только на худощавых, да ещё там дырка на спине!!!!  ну и как такое носить?? петли не спущенные а разрезанно полотно!!!",одежда
516,"заказ не пришел, но продавец сразу вернул деньги. Спасибо!",нет товара
517,"Товар не пришёл . Ждала ооооочень долго . Но в итоге попросила вернуть деньги . Вернули быстро, буквально на следующий день . ",нет товара
